Date,Daily Mean Temperature (0900-0900) (Â°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity %,Daily Mean Total Cloud (oktas),Daily Mean Visibility (dam),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
01/05/2015,8.7,tr,0,9,Light,21,79,8,2900,1009,80,E,70,ENE
02/05/2015,10.4,12,0.1,11,Moderate,24,96,8,1800,1007,100,E,150,SSE
03/05/2015,13.1,0.2,2.4,14,Moderate,31,99,7,1600,998,240,WSW,230,SW
04/05/2015,11.2,9.4,6,8,Light,23,96,5,2000,1001,240,WSW,270,W
05/05/2015,13.5,6.6,6.9,19,Fresh,41,97,6,1800,996,230,SW,240,WSW
06/05/2015,11.1,0,4.5,17,Fresh,44,91,7,1900,1006,250,WSW,240,WSW
07/05/2015,11.4,tr,7,8,Light,22,90,4,2500,1017,230,SW,240,WSW
08/05/2015,12.7,1,0.3,8,Light,24,95,8,1900,1013,60,ENE,240,WSW
09/05/2015,14.3,tr,4.3,12,Moderate,27,91,6,2300,1017,240,WSW,250,WSW
10/05/2015,13.1,0,3.5,7,Light,18,92,7,1900,1023,240,WSW,210,SSW
11/05/2015,13.6,tr,4.6,7,Light,18,95,6,2100,1019,240,WSW,260,W
12/05/2015,12.9,0,6.9,8,Light,22,95,4,2600,1020,270,W,270,W
13/05/2015,8.7,2.2,11,4,Light,15,94,3,2600,1019,180,S,150,SSE
14/05/2015,10.1,17.8,0,8,Light,23,95,8,2100,1011,110,ESE,90,E
15/05/2015,10.9,0,0.8,7,Light,17,93,8,2200,1022,40,NE,40,NE
16/05/2015,14.1,0,10.5,11,Moderate,25,95,3,2500,1026,310,NW,310,NW
17/05/2015,8.9,1.4,8.1,7,Light,20,95,3,2200,1026,240,WSW,240,WSW
18/05/2015,12.1,0.6,4.9,14,Moderate,36,96,5,2600,1008,260,W,240,WSW
19/05/2015,10.4,6.6,7.3,11,Moderate,28,94,3,3200,1007,250,WSW,260,W
20/05/2015,9.4,0,8.8,10,Light,23,95,2,2900,1019,320,NW,290,WNW
21/05/2015,10.5,0.4,10.3,6,Light,19,96,2,2400,1027,230,SW,220,SW
22/05/2015,12.4,0.2,0.2,5,Light,13,94,6,2500,1026,240,WSW,320,NW
23/05/2015,16.8,0,9.2,7,Light,17,92,5,2500,1024,360,N,360,N
24/05/2015,15.0,tr,2.9,6,Light,16,92,6,2300,1021,260,W,250,WSW
25/05/2015,11.9,0,2.5,6,Light,15,91,6,1900,1020,310,NW,290,WNW
26/05/2015,13.1,0,6.7,6,Light,18,97,4,2700,1024,320,NW,10,N
27/05/2015,11.1,0.2,7.5,7,Light,19,94,5,2100,1024,340,NNW,240,WSW
28/05/2015,14.0,tr,6.3,10,Light,23,91,6,2600,1016,290,WNW,290,WNW
29/05/2015,11.7,3.4,5.7,11,Moderate,35,90,5,3100,1010,300,WNW,250,WSW
30/05/2015,8.4,6,7,7,Light,19,95,4,3000,1014,270,W,240,WSW
31/05/2015,13.5,1,3.7,12,Moderate,26,97,6,1800,1009,250,WSW,200,SSW
01/06/2015,10.5,11.2,1.7,13,Moderate,36,94,7,2300,1013,220,SW,210,SSW
02/06/2015,14.2,tr,3.4,18,Fresh,39,95,6,1400,1007,240,WSW,240,WSW
03/06/2015,14.2,tr,10.7,9,Light,22,90,3,2700,1022,250,WSW,260,W
04/06/2015,12.1,0.8,13.2,6,Light,17,95,2,2600,1024,150,SSE,130,SE
05/06/2015,17.0,0,8.8,8,Light,23,91,4,2400,1017,260,W,280,W
06/06/2015,12.1,0,11.8,10,Light,25,88,2,3000,1026,250,WSW,250,WSW
07/06/2015,11.7,0,12.5,6,Light,24,93,1,2700,1032,20,NNE,350,N
08/06/2015,13.8,0,7.9,8,Light,19,76,4,2800,1033,20,NNE,60,ENE
09/06/2015,11.7,0,8.3,12,Moderate,28,84,4,3300,1032,50,NE,30,NNE
10/06/2015,13.1,0,14.1,12,Moderate,27,78,1,2800,1027,60,ENE,60,ENE
11/06/2015,18.1,6.8,8.3,11,Moderate,26,79,4,2700,1017,50,NE,120,ESE
12/06/2015,16.6,3.8,0.1,6,Light,18,95,7,1300,1009,30,NNE,270,W
13/06/2015,16.0,0,9.3,10,Light,23,95,5,1900,1010,250,WSW,260,W
14/06/2015,15.4,0,2.1,7,Light,17,95,7,1700,1014,350,N,360,N
15/06/2015,14.1,0,3.6,5,Light,14,91,5,1700,1022,10,N,30,NNE
16/06/2015,15.6,0,8.3,6,Light,18,96,4,1800,1026,310,NW,250,WSW
17/06/2015,16.8,0,2.6,8,Light,22,95,5,2200,1025,260,W,290,WNW
18/06/2015,19.0,0,11.6,9,Light,19,89,3,2300,1021,310,NW,330,NNW
19/06/2015,15.0,0,13.2,8,Light,23,91,0,2000,1023,310,NW,280,W
20/06/2015,15.7,0.6,0.6,5,Light,15,94,6,1700,1022,260,W,260,W
21/06/2015,16.5,4.8,4.1,10,Light,22,92,5,2400,1018,280,W,290,WNW
22/06/2015,15.6,0.8,5.3,9,Light,25,93,5,2700,1012,270,W,330,NNW
23/06/2015,13.9,0,4.8,5,Light,15,90,5,2800,1019,320,NW,250,WSW
24/06/2015,15.8,0,11.2,5,Light,19,95,4,2400,1021,190,S,190,S
25/06/2015,14.3,0,13.9,5,Light,14,97,1,2300,1022,180,S,180,S
26/06/2015,18.1,0.6,2.7,7,Light,24,94,6,2000,1018,230,SW,240,WSW
27/06/2015,15.3,0,8.5,7,Light,20,96,3,1900,1021,270,W,270,W
28/06/2015,16.6,0.2,1,6,Light,16,91,7,1700,1020,240,WSW,260,W
29/06/2015,16.5,0,13.3,5,Light,15,95,3,2500,1023,180,S,180,S
30/06/2015,18.7,tr,13.8,8,Light,22,96,2,3000,1018,120,ESE,90,E
01/07/2015,24.0,0.2,9,7,Light,21,89,2,2600,1011,160,SSE,130,SE
02/07/2015,18.4,1.2,5.1,5,Light,30,92,5,2200,1019,270,W,290,WNW
03/07/2015,17.4,13.6,10.4,8,Light,38,96,2,2500,1022,100,E,270,W
04/07/2015,19.8,0,8.6,8,Light,23,95,2,1700,1019,230,SW,240,WSW
05/07/2015,15.6,0,8,8,Light,25,96,4,2200,1019,250,WSW,260,W
06/07/2015,14.9,0.6,9.5,8,Light,21,95,2,2100,1019,190,S,180,S
07/07/2015,18.6,1,5.5,12,Moderate,29,94,6,2200,1010,240,WSW,250,WSW
08/07/2015,17.3,0.4,5.3,14,Moderate,30,90,5,2500,1014,260,W,290,WNW
09/07/2015,15.4,0,11.1,6,Light,17,95,2,2200,1023,230,SW,230,SW
10/07/2015,14.8,tr,10.5,6,Light,17,94,3,2400,1020,150,SSE,150,SSE
11/07/2015,16.8,0.2,6.9,9,Light,25,93,4,2500,1018,250,WSW,280,W
12/07/2015,16.5,1.8,0,10,Light,27,96,8,1900,1018,240,WSW,250,WSW
13/07/2015,17.6,0.6,0.1,11,Moderate,30,96,8,1900,1016,250,WSW,250,WSW
14/07/2015,19.3,0.2,0.5,8,Light,21,97,8,2000,1018,250,WSW,250,WSW
15/07/2015,18.7,tr,0.1,5,Light,12,96,7,2300,1018,10,N,250,WSW
16/07/2015,18.8,tr,3.6,6,Light,19,91,6,2300,1015,30,NNE,130,SE
17/07/2015,19.1,0,5.7,10,Light,25,94,4,2200,1013,230,SW,260,W
18/07/2015,14.2,tr,8.1,6,Light,21,93,4,2500,1017,240,WSW,190,S
19/07/2015,18.6,tr,12.2,7,Light,21,90,4,2500,1011,240,WSW,250,WSW
20/07/2015,18.1,0.2,0.1,8,Light,23,97,7,1500,1010,230,SW,240,WSW
21/07/2015,17.8,0,7.8,10,Light,26,95,3,2100,1013,240,WSW,270,W
22/07/2015,18.5,0.2,4.1,8,Light,23,90,5,3300,1016,240,WSW,240,WSW
23/07/2015,13.5,5.2,2.8,5,Light,18,92,5,3400,1018,240,WSW,220,SW
24/07/2015,14.7,21.4,0,7,Light,25,96,8,1600,1009,70,ENE,40,NE
25/07/2015,15.7,8,10.9,9,Light,22,94,3,3300,1015,310,NW,280,W
26/07/2015,14.5,4,0.7,12,Moderate,28,96,7,2000,1005,240,WSW,180,S
27/07/2015,15.9,0.2,1.6,14,Moderate,29,90,7,2700,1003,260,W,270,W
28/07/2015,16.8,tr,6.7,12,Moderate,26,79,5,3600,1008,270,W,260,W
29/07/2015,13.5,0.2,5.3,9,Light,22,93,4,3700,1013,300,WNW,290,WNW
30/07/2015,13.3,0,11.3,6,Light,19,94,2,3700,1019,320,NW,330,NNW
31/07/2015,12.5,0,13.9,4,Light,16,95,0,3400,1019,190,S,190,S
01/08/2015,12.5,0,9.3,6,Light,21,92,1,3400,1017,240,WSW,250,WSW
02/08/2015,15.2,tr,11.9,8,Light,20,95,1,3300,1015,140,SE,150,SSE
03/08/2015,18.6,0.4,3.1,10,Light,23,91,6,2600,1011,230,SW,240,WSW
04/08/2015,16.7,0.2,8.1,12,Moderate,32,86,4,2400,1014,240,WSW,270,W
05/08/2015,17.0,1.8,1.1,8,Light,23,84,7,2500,1013,180,S,130,SE
06/08/2015,18.4,0,5.9,8,Light,20,92,5,2900,1013,240,WSW,280,W
07/08/2015,15.4,0,9.6,4,Light,14,95,4,3200,1018,310,NW,220,SW
08/08/2015,16.3,0,14,4,Light,14,92,0,2500,1023,170,S,170,S
09/08/2015,14.2,0.2,6.4,7,Light,22,93,5,2900,1021,250,WSW,260,W
10/08/2015,17.6,2.2,0.5,7,Light,18,96,7,2100,1018,230,SW,230,SW
11/08/2015,15.5,0.6,0,3,Light,8,96,8,2300,1020,10,N,40,NE
12/08/2015,19.3,0.4,5,8,Light,17,94,4,2500,1022,40,NE,50,NE
13/08/2015,18.0,5.6,0,8,Light,20,95,7,1200,1013,20,NNE,20,NNE
14/08/2015,17.1,0.8,0,7,Light,17,97,8,1800,1007,320,NW,310,NW
15/08/2015,16.1,0,6.2,7,Light,18,91,4,3000,1013,300,WNW,260,W
16/08/2015,12.9,0,7.6,3,Light,11,95,3,3300,1017,350,N,210,SSW
17/08/2015,15.3,0,2.6,4,Light,11,92,6,2700,1018,330,NNW,220,SW
18/08/2015,15.3,0.2,1.7,5,Light,17,93,6,2500,1016,290,WNW,250,WSW
19/08/2015,13.2,15,1.3,6,Light,18,97,7,1600,1017,220,SW,190,S
20/08/2015,17.1,1.4,0.1,7,Light,19,96,8,2000,1020,220,SW,220,SW
21/08/2015,19.6,0,6.7,8,Light,20,95,4,3100,1020,220,SW,230,SW
22/08/2015,19.5,25,7.5,5,Light,17,97,5,2300,1013,150,SSE,140,SE
23/08/2015,17.1,13.8,5.6,6,Light,20,95,6,2900,1002,230,SW,210,SSW
24/08/2015,13.7,13.6,0,9,Light,21,97,7,1800,1000,70,ENE,320,NW
25/08/2015,13.2,17.6,0.3,10,Light,31,96,6,1800,1008,220,SW,230,SW
26/08/2015,17.0,15.6,4.7,12,Moderate,31,95,5,2100,1004,200,SSW,200,SSW
27/08/2015,16.5,0.8,3.9,8,Light,22,92,5,2700,1008,230,SW,250,WSW
28/08/2015,12.7,0,7.9,6,Light,22,97,3,2700,1017,240,WSW,220,SW
29/08/2015,17.6,4.4,3.7,4,Light,12,96,7,2800,1019,200,SSW,160,SSE
30/08/2015,17.6,18,1.1,7,Light,18,96,8,2400,1017,10,N,10,N
31/08/2015,16.1,1.2,0,7,Light,18,97,8,2100,1014,360,N,30,NNE
01/09/2015,17.1,tr,9.9,6,Light,18,95,3,3100,1019,320,NW,360,N
02/09/2015,13.0,0,8.7,6,Light,18,96,3,3400,1019,310,NW,300,WNW
03/09/2015,12.4,0,3.5,7,Light,19,93,7,3400,1017,300,WNW,290,WNW
04/09/2015,14.0,tr,0.2,5,Light,16,91,7,3200,1019,320,NW,10,N
05/09/2015,12.6,0,1.1,6,Light,19,93,6,2700,1022,10,N,20,NNE
06/09/2015,11.2,0,12.5,4,Light,13,95,0,2500,1029,300,WNW,260,W
07/09/2015,12.4,0.2,11.6,4,Light,15,96,1,2500,1030,80,E,120,ESE
08/09/2015,13.1,0,8.9,5,Light,15,96,3,2300,1027,350,N,100,E
09/09/2015,13.4,0,4.9,7,Light,22,94,4,2400,1021,100,E,100,E
10/09/2015,14.8,0,11.8,7,Light,21,96,0,2100,1019,70,ENE,120,ESE
11/09/2015,15.5,2.6,4,9,Light,25,93,3,2200,1013,130,SE,130,SE
12/09/2015,17.3,tr,8.4,10,Light,24,91,4,2700,1008,240,WSW,240,WSW
13/09/2015,13.6,14.6,1.3,8,Light,24,95,7,2200,1004,110,ESE,130,SE
14/09/2015,14.5,5.4,4.7,12,Moderate,33,96,5,2400,994,250,WSW,250,WSW
15/09/2015,14.5,0,3.9,11,Moderate,30,93,7,2600,996,240,WSW,250,WSW
16/09/2015,12.8,25.8,0.2,9,Light,21,95,7,1900,988,40,NE,30,NNE
17/09/2015,12.5,2.4,8,7,Light,23,96,3,2200,1001,300,WNW,260,W
18/09/2015,14.2,0,5.8,5,Light,16,97,4,2500,1012,310,NW,290,WNW
19/09/2015,12.9,0.2,9.9,4,Light,11,97,0,1700,1025,320,NW,200,SSW
20/09/2015,12.6,0.4,8.3,4,Light,15,98,5,1700,1025,220,SW,200,SSW
21/09/2015,13.5,14.6,2.3,5,Light,23,95,6,2400,1012,220,SW,300,WNW
22/09/2015,11.9,3.8,3.7,10,Light,25,95,5,3100,1003,280,W,300,WNW
23/09/2015,11.8,3.6,5.9,8,Light,21,97,4,2800,1013,250,WSW,250,WSW
24/09/2015,15.5,0.2,5.6,9,Light,24,94,5,2900,1015,270,W,250,WSW
25/09/2015,11.2,0,7.7,4,Light,17,96,2,2800,1023,320,NW,290,WNW
26/09/2015,10.8,0.2,8.4,3,Light,13,97,1,2400,1028,90,E,70,ENE
27/09/2015,11.7,0,9.9,6,Light,19,96,1,2600,1033,70,ENE,90,E
28/09/2015,12.3,0,9.9,7,Light,22,96,0,2500,1035,100,E,110,ESE
29/09/2015,13.3,0,9.8,9,Light,24,93,0,2700,1033,70,ENE,100,E
30/09/2015,14.3,0.2,9.6,10,Light,31,90,0,2500,1031,60,ENE,70,ENE
01/10/2015,12.6,0.2,9.1,8,Light,20,95,0,2300,1030,40,NE,70,ENE
02/10/2015,12.6,0,9.3,5,Light,14,96,0,1600,1024,360,N,70,ENE
03/10/2015,8.9,0.2,1.7,2,Light,12,97,3,1000,1016,340,NNW,350,N
04/10/2015,9.3,6.6,2.7,8,Light,26,96,3,1000,1013,140,SE,150,SSE
05/10/2015,13.7,16.4,0,13,Moderate,27,96,8,1000,1002,180,S,130,SE
06/10/2015,16.9,1.2,1.1,8,Light,23,97,6,2000,996,150,SSE,180,S
07/10/2015,13.7,0.2,1.3,10,Light,24,94,6,3100,1011,290,WNW,290,WNW
08/10/2015,9.2,0,0.3,3,Light,11,97,6,1900,1022,350,N,250,WSW
09/10/2015,10.4,0.2,6.2,3,Light,12,97,3,1500,1022,30,NNE,160,SSE
10/10/2015,9.6,0,0.1,7,Light,16,97,5,1000,1019,50,NE,80,E
11/10/2015,13.7,0,3.6,7,Light,15,88,8,900,1016,50,NE,80,E
12/10/2015,9.4,0,8.6,7,Light,19,94,2,1000,1020,360,N,360,N
13/10/2015,9.0,0.2,3.4,7,Light,20,92,3,1200,1024,360,N,10,N
14/10/2015,8.4,0,5.3,7,Light,20,93,1,1400,1024,10,N,10,N
15/10/2015,9.1,0.2,2,7,Light,21,94,5,1200,1022,350,N,50,NE
16/10/2015,11.5,0,0.2,10,Light,22,90,8,1000,1022,360,N,30,NNE
17/10/2015,10.5,0,0.1,7,Light,17,94,7,1000,1021,10,N,20,NNE
18/10/2015,11.0,0,2.8,5,Light,17,94,6,1000,1021,30,NNE,80,E
19/10/2015,11.6,tr,0,7,Light,18,92,8,1900,1025,10,N,40,NE
20/10/2015,11.5,6.6,6.8,4,Light,13,94,3,1900,1027,340,NNW,10,N
21/10/2015,10.2,3,0,7,Light,19,97,8,1600,1019,240,WSW,300,WNW
22/10/2015,13.0,0,0.4,8,Light,23,92,8,2700,1019,280,W,300,WNW
23/10/2015,11.8,0.2,0,3,Light,14,92,8,2600,1021,200,SSW,180,S
24/10/2015,13.1,1,0.1,8,Light,22,94,6,2800,1015,190,S,280,W
25/10/2015,6.3,0.2,7.4,4,Light,17,97,1,2200,1024,100,E,130,SE
26/10/2015,9.5,0,0.6,10,Light,20,91,6,2000,1013,120,ESE,110,ESE
27/10/2015,14.2,7.8,0.2,6,Light,18,96,7,1100,1008,110,ESE,120,ESE
28/10/2015,11.6,1.2,5.7,6,Light,18,98,5,1400,1007,190,S,180,S
29/10/2015,12.6,22.2,0,10,Light,26,96,7,1700,1011,180,S,170,S
30/10/2015,14.0,0.2,0,10,Light,27,96,7,1700,1016,140,SE,160,SSE
31/10/2015,12.7,0.2,6.2,5,Light,15,98,2,1000,1021,120,ESE,110,ESE